,GEOID10,canrate_x,mean,canrate_y,residual
0,55037190100,0.03,3.2498363835657305,0.03,0.3343984292817978
1,55037190200,0.11,2.8966135627698035,0.11,0.8759288141697508
2,55019950300,0.09,4.613473128383331,0.09,-0.8880076424667829
3,55019950700,0.01,4.443058218880604,0.01,-0.9059002970560824
4,55019950600,0.13,3.877400738603025,0.13,-0.0577814706404642
5,55019950800,0.28,4.544878951436523,0.28,-0.3721830008014137
6,55019950200,0.14,5.081791901459236,0.14,-1.238634187985172
7,55019950500,0.1,5.076011085675617,0.1,-1.327007154247566
8,55019950400,0.15,4.89322733933937,0.15,-1.0265311803538033
9,55019950100,0.05,5.265760230474146,0.05,-1.6344485266036108
10,55031021100,0.01,-0.4576891109693882,0.01,3.99484703279391
11,55031990000,0.07,2.173504669253433,0.07,1.5048839256401083
12,55031020900,0.01,0.3527668393147525,0.01,3.184391082509769
13,55031020600,0.01,-0.544478215277195,0.01,4.081636137101716
14,55031020500,0.01,-0.8281825453042984,0.01,4.36534046712882
15,55031020400,0.01,-0.3981105589866638,0.01,3.935268480811185
16,55049950600,0.15,6.207226381937663,0.15,-2.340530222952096
17,55049950400,0.13,7.713715504854917,0.13,-3.894096236892356
18,55049950300,0.52,5.3411591177589255,0.52,-0.6035404748477378
19,55049950500,0.63,7.103202096648887,0.63,-2.106660553111164
20,55049950200,0.61,6.533924098063183,0.61,-1.5844594455484664
21,55049950100,0.58,7.292339746418315,0.58,-2.4134904304381086
22,55031020300,0.01,-0.925487675704062,0.01,4.462645597528583
23,55031020800,0.02,0.3764326338090148,0.02,3.1842637335270103
24,55031020700,0.04,1.027427433513281,0.04,2.580345824845751
25,55031030200,0.11,1.3866688251881718,0.11,2.3858735517513825
26,55031030300,0.54,2.1854617931713705,0.54,2.5992337407628234
27,55031030100,0.16,1.7545088934318398,0.16,2.1357257110652306
28,55031021000,0.01,0.8575708294472499,0.01,2.679587092377272
29,55059002300,0.01,4.735891884023493,0.01,-1.1987339621989714
30,55059002200,0.01,4.492022378104074,0.01,-0.954864456279552
31,55059002100,0.01,4.473163445790608,0.01,-0.9360055239660868
32,55059001800,0.01,4.426108646392822,0.01,-0.8889507245683004
33,55059001700,0.01,4.483356649225408,0.01,-0.9461987274008864
34,55059001300,0.01,5.042604362263399,0.01,-1.505446440438877
35,55059001200,0.01,4.659009411221459,0.01,-1.1218514893969371
36,55059001100,0.01,4.430956840515137,0.01,-0.893798918690615
37,55059000900,0.01,4.393091678619385,0.01,-0.855933756794863
38,55059000800,0.01,4.543156782786052,0.01,-1.00599886096153
39,55047100600,0.44,3.794685754556144,0.44,0.7546253242630172
40,55047100500,0.28,4.500048401989514,0.28,-0.3273524513544048
41,55047100400,0.28,2.67193945475476,0.28,1.5007564958803492
42,55047100300,0.49,3.131444920275852,0.49,1.535558386100826
43,55015020800,0.01,0.7508887102804989,0.01,2.786269211544023
44,55015020700,0.01,1.218176957888481,0.01,2.318980963936041
45,55047100200,0.01,2.2137462231847973,0.01,1.3234116986397244
46,55047100100,0.08,1.8549791453434872,0.08,1.8469478950615572
47,55015020308,0.03,1.0191533547749214,0.03,2.5650814580726067
48,55015020303,0.01,0.3013746506637997,0.01,3.235783271160722
49,55015020304,0.01,0.7690907940268517,0.01,2.76806712779767
50,55015020306,0.14,1.5356864461260278,0.14,2.307471267348036
51,55061960500,0.14,2.9900099622284944,0.14,0.8531477512455696
52,55051180300,0.11,1.3281857722257648,0.11,2.444356604713789
53,55061960400,0.24,2.740868627342796,0.24,1.3376735412463003
54,55051180100,0.01,2.10180455464471,0.01,1.4353533671798115
55,55061960200,0.14,3.1138163463414066,0.14,0.7293413671326574
56,55051180200,0.12,1.6690644009203577,0.12,2.1270164215306995
57,55051990000,0.05,1.8694324748341664,0.05,1.7618792290363685
58,55057100300,0.09,4.176980490701565,0.09,-0.4515150047850174
59,55057100500,0.01,4.436535822410209,0.01,-0.8993779005856877
60,55057100600,0.08,4.42794527815863,0.08,-0.7260182377535851
61,55055101702,0.26,3.399055733356947,0.26,0.7265633262551563
62,55055100300,0.05,3.6391069784651706,0.05,-0.0077952745946356
63,55055100200,0.01,3.34675874710083,0.01,0.1903991747236917
64,55055100100,0.02,3.4653437992051845,0.02,0.0953525681308407
65,55055100400,0.39,4.447790203249361,0.39,-0.0161713519877153
66,55061960100,0.01,2.97479319318812,0.01,0.562364728636402
67,55057100200,0.11,4.027966860667277,0.11,-0.2554244837277228
68,55057100400,0.04,4.311873716812942,0.04,-0.7041004584539099
69,55057100700,0.13,4.643797443967417,0.13,-0.8241781760048559
70,55057100100,0.38,3.433820983167145,0.38,0.974259422582997
71,55055101100,0.03,4.906007038326714,0.03,-1.3217722254791855
72,55055101202,0.07,5.446070477991928,0.07,-1.767681883098386
73,55055101500,0.02,5.292320784036216,0.02,-1.7316244167001904
74,55055101400,0.01,5.488342219132644,0.01,-1.9511842973081224
75,55055101300,0.01,5.384983523043594,0.01,-1.8478256012190728
76,55055100900,0.47,4.9161385404584825,0.47,-0.2962121251048115
77,55055101701,0.18,3.914317474155229,0.18,0.0229940213648482
78,55055100800,0.35,3.806044694394042,0.35,0.5314203748215904
79,55055101600,0.33,5.925549476165471,0.33,-1.6351612979728447
80,55055100601,0.14,5.378617683804869,0.14,-1.535459970330805
81,55055101000,0.01,4.648355260187266,0.01,-1.1111973383627445
82,55055100700,0.22,4.392043107016045,0.22,-0.3605778294499551
83,55055100602,0.27,5.312527389028643,0.27,-1.1633698839050377
84,55055101201,0.27,6.189409205081112,0.27,-2.0402516999575058
85,55055100500,0.04,4.798651511274923,0.04,-1.1908782529158914
86,55063001200,0.0,4.163483301798503,0.0,-0.6498638254854843
87,55063001000,0.01,4.19039797782898,0.01,-0.6532400560044587
88,55015020600,0.14,2.9342387259961265,0.14,0.9089189874779376
89,55015020500,0.11,1.929321436171836,0.11,1.8432209407677185
90,55015020200,0.35,1.9513990299589257,0.35,2.386066039256707
91,55063001101,0.01,4.044624924659729,0.01,-0.5074670028352073
92,55063000800,0.01,4.787137508392334,0.01,-1.2499795865678125
93,55063000500,0.0,4.944059799457419,0.0,-1.4304403231444
94,55063000600,0.01,4.716404883066813,0.01,-1.1792469612422916
95,55063000100,0.02,4.668175431660243,0.02,-1.107479064324218
96,55063010600,0.12,4.323422455396808,0.12,-0.5273416329457508
97,55063000400,0.02,4.642953952153524,0.02,-1.0822575848174991
98,55063010203,0.06,4.501636809990054,0.06,-0.8467866606080161
99,55063010300,0.03,4.678217072235911,0.03,-1.0939822593883823
100,55063010800,0.73,4.345544124077894,0.73,0.8863818745748615
101,55063010402,0.02,4.4684448425586405,0.02,-0.9077484752226151
102,55083101200,0.05,2.3158660891306333,0.05,1.3154456147399016
103,55083100800,0.06,2.3934345370366303,0.06,1.2614156123454077
104,55083100700,0.05,2.3492252139794347,0.05,1.2820864898911002
105,55083100500,0.19,2.51658492890572,0.19,1.4442650121258604
106,55083100600,0.17,2.107998170752098,0.17,1.805774879256476
107,55083100300,0.25,2.672872587494328,0.25,1.4292080266062714
108,55083101300,0.11,2.0940927833203644,0.11,1.67844959361919
109,55083101100,0.12,2.161051822120535,0.12,1.6350290003305226
110,55083101000,0.05,1.873696183546996,0.05,1.7576155203235393
111,55083100900,0.04,2.1014755159337946,0.04,1.5062977424252373
112,55083990000,0.13,2.064259673470579,0.13,1.7553595944919818
113,55093960400,0.0,5.88901799808849,0.0,-2.3753985217754714
114,55093960600,0.09,5.218617128991444,0.09,-1.4931516430748966
115,55093960700,0.07,5.2587076927323535,0.07,-1.580319097838812
116,55015020400,0.32,2.157012265861283,0.32,2.1098374668198394
117,55015020100,0.12,2.1146731865745143,0.12,1.681407635876543
118,55063001102,0.01,4.01706201689584,0.01,-0.4799040950713187
119,55063010500,0.01,4.3683471512376215,0.01,-0.8311892294130998
120,55063000200,0.02,4.785277578565809,0.02,-1.224581211229784
121,55063000900,0.03,4.318665571932523,0.03,-0.7344307590849946
122,55063000700,0.01,4.431666388878456,0.01,-0.8945084670539347
123,55063010401,0.1,4.323841944498276,0.1,-0.5748380130702246
124,55063010700,0.25,4.26930641636406,0.25,-0.1672258022634603
125,55063010101,0.81,4.414353683385294,0.81,1.0058798793594876
126,55063000300,0.02,4.752880545762869,0.02,-1.1921841784268437
127,55063010201,0.41,4.534641674545964,0.41,-0.055945932261312
128,55063010102,0.02,4.035573382811113,0.02,-0.4748770154750876
129,55063010202,0.3,4.588823127443347,0.3,-0.3690502857852307
130,55093960300,0.01,5.846843527324164,0.01,-2.309685605499642
131,55093960100,0.07,4.897712482485855,0.07,-1.2193238875923136
132,55093960800,0.14,5.146680426413995,0.14,-1.3035227129399307
133,55093960200,0.14,5.324027892291585,0.14,-1.4808701788175207
134,55093960500,0.08,5.622340234508858,0.08,-1.9204131941038132
135,55085970602,0.24,1.658533000996989,0.24,2.420009167592107
136,55085970601,0.03,2.424308304341102,0.03,1.1599265085064263
